,ivtU_max,ivtU_mean,ivtV_max,ivtV_mean,rain,year
2005-06-17,175.760364895,70.0753854977,9.618727632,22.6326249816,38.7,2005
2005-06-18,345.03445238,272.051335966,-159.16076391,-77.4977822066,3.8,2005
2005-06-20,83.8121181747,54.6113859617,-12.5548591016,-4.62043389639,10.0,2005
2005-06-21,182.938788163,155.287630013,-502.163382834,-240.278510282,8.2,2005
2005-06-23,329.755281399,179.531972885,-196.194514205,-106.284606063,8.0,2005
2005-06-24,329.755281399,181.267092241,-196.194514205,-104.021294287,1.6,2005
2005-06-26,582.418493296,270.956671975,-463.273192961,-199.632656546,162.4,2005
2005-06-28,246.779627192,162.311790835,5.93905996623,-41.6088340422,53.2,2005
2005-06-29,424.988675451,233.709462859,-290.005393852,-196.955690124,3.4,2005
2005-06-30,158.70393945,171.553918502,-480.795331803,-292.100399697,46.0,2005
2005-07-01,442.694297002,299.662704688,-631.011546763,-449.854831758,24.0,2005
2005-07-02,308.220603277,239.910363147,-568.243215529,-371.408335869,13.6,2005
2005-07-03,332.900853125,196.64951464,-371.092228592,-175.238168092,1.4,2005
2005-07-07,315.100238707,140.165390474,-502.985990274,-287.987933586,26.0,2005
2005-07-12,219.020425521,94.1160821892,-252.497034166,-91.8161717552,19.0,2005
2005-07-16,11.5604363049,-14.4696434043,226.333817769,121.469523426,2.0,2005
2005-07-20,36.2056238892,28.420377712,83.1636872336,54.2726831084,2.8,2005
2005-07-28,218.148364496,219.260012534,-184.909145539,-86.7575773673,11.2,2005
2005-07-29,424.092058861,321.848750315,-365.781420458,-308.808371249,45.6,2005
2005-07-31,287.016409144,205.687257916,-181.255788562,-123.1531456,18.8,2005
2005-08-01,573.102858228,286.364888434,-528.398978069,-280.854034179,18.6,2005
2005-08-02,573.102858228,282.066869813,-528.398978069,-156.519146365,15.4,2005
2005-08-05,84.1523608665,62.8687039784,14.1260368377,5.81309201335,9.2,2005
2005-08-11,313.131718644,188.618448289,-157.110305251,-46.5132517947,22.9,2005
2005-08-12,620.133912427,453.903359184,-349.162478612,-251.556827316,6.4,2005
2005-08-15,118.431384114,83.914628933,-364.997151626,-98.8319646762,29.8,2005
2005-08-16,277.84742086,232.033820653,-691.828352627,-386.640874242,1.6,2005
2005-08-19,115.36811343,82.7767776886,-11.5503123651,-17.7301241843,2.0,2005
2005-08-20,186.26236531,91.7476634985,-351.416507648,-195.764095597,21.0,2005
2005-08-21,186.26236531,153.505982682,-351.416507648,-235.516291041,4.6,2005
2005-08-25,208.850335016,121.565173611,-22.2898223517,-12.2174118631,9.4,2005
2005-08-26,460.735510886,331.550269305,-354.23086659,-125.258962726,14.2,2005
2005-08-27,718.074788703,387.9591684,-213.718691821,-111.317651786,3.2,2005
2005-08-28,339.082794123,202.745260317,-181.432290182,-65.7633558462,16.8,2005
2005-08-29,339.082794123,183.654388614,-181.432290182,-30.4006502192,2.2,2005
2005-09-02,109.77737928,80.5800190836,-204.534952991,-85.600215791,20.8,2005
2005-09-03,61.9140859925,104.027933861,-279.162115511,-168.650448192,16.8,2005
2005-09-04,139.225044534,105.013813404,84.4513609141,42.5616364883,1.0,2005
2005-09-05,314.052808001,212.945434301,75.1396191286,87.8308083332,1.0,2005
2005-09-22,70.5267158719,58.52765201,-103.377250423,-62.5249807655,3.0,2005
2005-09-23,90.8076290975,62.2199738851,-132.789697401,-75.6213374492,9.4,2005
2005-09-27,77.9745570597,38.0926909592,-124.315881208,-43.1766045565,16.8,2005
2005-09-28,146.900457936,99.3095881622,-203.066512738,-109.927935911,5.4,2005
2005-10-02,127.653853513,54.3599126031,-169.213659041,-113.442475763,15.0,2005
2005-10-03,0.38864546678,-16.5592497167,-144.414507474,-108.53580883,1.4,2005
2005-10-10,113.305132972,84.2855004438,-38.7506465883,0.32083469377,1.0,2005
2005-10-11,376.301880238,207.97710389,-209.16965935,-105.564371621,4.0,2005
2005-10-27,52.5301192061,52.6251410995,55.4626477431,43.1633120878,7.2,2005
2005-11-02,118.375475658,42.7748116517,97.2994387607,83.2660114651,1.2,2005
2005-11-17,332.397168575,193.740115675,-6.05860551041,-11.6099063216,3.8,2005
2005-11-21,264.930787569,223.806458094,-109.580794824,-38.9659365714,1.6,2005
2005-11-22,382.36996754,298.941688564,-271.436357868,-192.703411167,29.6,2005
2005-11-23,382.36996754,250.675807839,-271.436357868,-65.0215237944,1.8,2005
2005-11-26,265.228646584,228.62574154,-52.7639173464,28.0324689665,5.6,2005
2005-11-27,310.434689909,256.670491195,-153.17306371,-97.3247882741,4.8,2005
2005-12-03,90.8105155078,79.671373578,-92.2559420934,-25.714008972,2.6,2005
2005-12-04,238.463348395,182.288212145,-139.849437818,-102.556899968,2.2,2005
2005-12-06,50.0195883197,53.1942658069,118.21757439,97.9871145986,8.4,2005
2005-12-07,465.405840018,232.261550142,-155.28359222,-11.7389783944,51.6,2005
2006-01-05,514.135386715,397.79040992,-109.950998597,-91.7175874292,8.4,2006
2006-01-09,619.552978246,384.577668088,-291.128105142,-157.236850052,18.8,2006
2006-01-14,67.7251947509,53.0802144039,70.404006648,63.1470415031,1.6,2006
2006-02-26,313.687213177,247.200493995,39.3738002079,62.0595584175,1.8,2006
2006-03-12,36.3815437649,26.4815592107,53.7457970854,47.5438243902,2.0,2006
2006-03-16,58.4515550611,77.7980061892,137.350691714,63.618146405,2.8,2006
2006-03-23,174.276865232,97.5709830318,0.428145027139,28.1135600562,4.2,2006
2006-04-11,269.212820496,178.315597501,-289.098338394,-163.963441081,20.8,2006
2006-04-17,5.0573584826,15.2048100675,37.6548749431,15.85383419,5.8,2006
2006-04-18,675.859632152,255.315494035,-415.553760951,-158.200892441,60.8,2006
2006-04-19,1078.64255504,787.036919262,-768.017564038,-463.485377187,27.4,2006
2006-04-21,229.752655036,153.349819379,167.832704111,113.565768772,3.0,2006
2006-04-27,78.8823477941,69.5709002818,87.3895515754,48.8949441291,2.8,2006
2006-05-14,88.1594038793,39.08023797,-154.107697309,-70.6947486556,6.4,2006
2006-05-15,338.250585764,228.940534816,-426.903285024,-325.72750391,11.6,2006
2006-05-22,124.678896543,98.4942489703,-52.2673746438,17.2426094041,2.0,2006
2006-05-23,268.98093228,173.521935104,-424.454198932,-254.684145803,10.4,2006
2006-05-24,285.586636639,317.280428087,-640.034378752,-513.628043958,36.4,2006
2006-05-25,368.814947651,315.2530828,-676.726441856,-493.933650992,9.2,2006
2006-05-28,173.350357738,126.263901129,-135.299914789,-77.001705095,3.8,2006
2006-05-31,249.339336616,144.416984391,-387.033257742,-210.168780393,27.6,2006
2006-06-04,185.123694648,120.373883862,2.87561710336,3.78628922602,45.8,2006
2006-06-05,531.048721121,273.84912929,-303.161161636,-151.191235878,8.0,2006
2006-06-06,445.196123492,249.871941795,-97.8579200253,-149.932257427,66.0,2006
2006-06-07,581.828028237,467.993294303,-950.347806951,-668.685623735,13.0,2006
2006-06-11,247.381829922,139.712126347,-250.018924262,-108.839253998,29.8,2006
2006-06-12,427.4297357,374.454275318,-439.294068267,-287.720595917,14.6,2006
2006-06-13,351.745887795,211.137280635,-165.70416899,-97.1273962053,1.6,2006
2006-06-14,216.204622011,161.94730476,-212.306975806,-115.004197413,7.6,2006
2006-06-16,71.0374896395,63.8283035947,-118.71544711,-51.5377553301,19.2,2006
2006-06-18,338.19727028,275.302035128,-160.738477899,-106.031711854,9.8,2006
2006-06-19,503.26716989,324.041816031,-197.305051621,-74.1970002941,4.4,2006
2006-06-20,251.072359455,219.100615392,46.9701964317,40.0695469957,6.2,2006
2006-06-23,266.031825085,127.265771675,-216.60527001,-53.3519327718,57.0,2006
2006-06-24,305.759037038,271.191051713,-412.250693033,-297.284963527,17.2,2006
2006-06-29,236.25232765,115.914571623,-326.987095999,-261.338543666,7.0,2006
2006-07-05,77.1779065362,72.5731369981,-108.067858083,-15.4845610964,9.6,2006
2006-07-06,193.690885328,106.750261611,-465.855879572,-308.869752937,23.0,2006
2006-07-07,175.649755601,202.416260832,-484.583310048,-358.1095351,9.0,2006
2006-07-08,224.689432394,170.252857067,-177.614942114,-45.7701204636,9.8,2006
2006-07-09,297.999827915,155.556085542,-223.896081787,-67.6127563137,19.6,2006
2006-07-10,453.927327933,307.291874826,-327.006850618,-174.702825324,106.6,2006
2006-07-11,632.167766673,557.983554261,-367.85999361,-327.190327286,58.0,2006
2006-07-12,577.263069728,296.293436914,-390.129995518,-120.797624892,1.0,2006
2006-07-15,221.104849144,104.260630305,-242.414466685,-98.754829511,2.4,2006
2006-07-17,253.0616508,240.015506331,-145.614216444,-97.6899149587,2.6,2006
2006-07-19,239.769036267,178.782310602,40.3212287579,-0.483505612541,3.8,2006
2006-07-21,313.609579151,243.541874684,-88.1396954842,-72.3110175469,16.4,2006
2006-07-24,152.53714216,138.775780783,-241.691037418,-144.893320363,17.8,2006
2006-07-25,182.981495609,172.203278476,-410.202431838,-300.19658903,15.0,2006
2006-07-26,140.821806448,78.8215322251,-121.352052685,-71.6824959251,10.1,2006
2006-07-27,84.3148368101,66.5697887988,-74.5992368469,-49.7409811335,6.6,2006
2006-08-01,52.4429995223,36.5661966356,-76.3083889092,-5.68269612713,5.0,2006
2006-08-02,184.774986592,142.918816365,-283.907987211,-180.85766023,10.8,2006
2006-08-03,226.043769152,112.819572205,-171.728709142,-114.357424061,11.2,2006
2006-08-05,148.765989495,102.737366065,-32.1842421864,-10.8704749809,2.0,2006
2006-08-06,284.535188462,202.204328362,-365.40719181,-179.694113306,25.0,2006
2006-08-07,284.535188462,145.174788777,-365.40719181,-97.445794151,3.2,2006
2006-08-08,221.593780374,111.775909903,-282.137060472,-154.578418916,33.4,2006
2006-08-09,221.593780374,185.669782505,-282.137060472,-73.1217041839,12.6,2006
2006-08-10,434.240019355,204.747266221,-166.81113824,-77.2272508005,64.4,2006
2006-08-11,434.240019355,298.454375829,-166.81113824,-112.685974273,2.0,2006
2006-08-12,177.002207734,196.509288565,-179.17173987,-96.2676164913,16.6,2006
2006-08-13,352.002667087,255.195306117,-518.044502955,-272.577593075,1.8,2006
2006-08-16,145.022383892,70.5731539034,52.9529925601,64.5612736772,2.0,2006
2006-08-30,132.240428942,63.4987375606,-209.906136586,-158.391042588,44.4,2006
2006-09-06,227.219161135,143.045098409,-217.717412281,-122.19783341,8.2,2006
2006-09-09,347.318683615,223.368173845,-173.035323375,-78.1633984559,15.2,2006
2006-09-10,501.274127226,449.931018958,-172.489604894,-196.099612879,5.6,2006
2006-09-20,131.541274157,41.9698926229,-34.5336959065,-9.87473937155,7.8,2006
2006-09-21,290.495659808,200.801698777,-85.723255821,-64.7534982693,2.4,2006
2006-09-25,140.168396707,101.994406441,-145.678954963,-47.6815163905,1.3,2006
2006-10-03,151.296053021,103.489792535,-122.325496159,-37.5697574097,8.6,2006
2006-10-05,61.2940430841,45.1348840691,75.1788778456,30.6979023212,1.8,2006
2006-10-06,230.920076761,147.36967606,-66.8810128619,-26.4226529687,1.6,2006
2006-10-11,394.063257869,187.144204747,-118.230919961,-22.5256751529,36.8,2006
2006-10-12,447.704371169,285.929076882,-239.202393007,-111.402468701,8.8,2006
2006-10-13,181.238240591,114.73852677,-248.340151018,-107.725544239,7.4,2006
2006-10-14,175.241363271,135.07729196,-89.1103719457,-25.5562798139,1.0,2006
2006-10-23,103.535888277,82.6851734437,-23.0015195911,-7.81661031465,2.6,2006
2006-10-27,187.289180266,82.851359537,-224.020317223,-120.162307533,15.8,2006
2006-10-29,166.29595727,97.9905899165,-32.9101294848,-29.2365736669,4.4,2006
2006-11-13,199.098257468,119.401372059,-244.699473781,-128.223282728,1.2,2006
2006-11-15,152.680421364,117.240065826,56.6175469859,34.3635247664,1.0,2006
2006-12-13,172.901643578,128.149494219,-77.121509956,-16.0765873742,1.7,2006
2006-12-15,116.454102103,128.435308828,-412.849091414,-255.186389741,13.8,2006
2006-12-22,271.388834388,221.410240829,-63.4526061671,6.55175167851,5.0,2006
2006-12-23,446.075644838,345.530624205,-56.4426879087,-64.5958706812,31.8,2006
2007-01-22,232.535303866,151.131452576,-413.468632744,-241.800026988,24.4,2007
2007-02-14,139.702327894,95.5121676962,20.7805981957,37.3532177598,1.2,2007
2007-02-15,371.700559179,172.982248109,-88.7604808932,-22.7806413348,35.4,2007
2007-03-07,71.0331475509,55.298370707,-28.7697121946,-8.21004981263,5.4,2007
2007-03-14,146.01350216,117.104159666,-125.42394951,-34.389683366,1.0,2007
2007-03-21,181.009865593,127.406833866,-135.498169994,-71.5412495665,2.6,2007
2007-04-09,265.597103302,152.793891404,-55.3889087121,1.70987036145,10.4,2007
2007-04-10,339.116750781,177.591265281,-30.5342802342,9.12085226768,8.2,2007
2007-04-13,165.662018031,116.190332254,-108.504031559,-6.64449854238,25.0,2007
2007-04-16,228.47968854,125.470738699,-413.091972263,-252.241121782,28.4,2007
2007-04-18,183.561649418,182.395265709,-304.221761753,-266.45552244,24.2,2007
2007-04-29,11.8916418017,-25.6380309202,-231.827862809,-118.233548457,5.4,2007
2007-04-30,152.330346289,92.9335733902,-453.671148335,-349.836790277,30.2,2007
2007-05-01,125.283874808,114.759609114,-469.130618869,-407.688483907,4.6,2007
2007-05-03,188.629694524,144.555152596,-315.71184663,-217.631581002,35.4,2007
2007-05-04,67.7729554656,97.1572724631,-214.077932717,-141.495120438,18.2,2007
2007-05-19,52.0468871103,29.9405278214,166.580323201,139.232253001,2.4,2007
2007-05-29,34.7474601649,14.7344977365,-112.713718192,-39.4895624047,5.0,2007
2007-05-30,5.25588212851,25.7401297301,-255.518197174,-195.382338235,6.2,2007
2007-06-06,123.027162361,83.2214368323,-86.6566751303,-43.4426265339,1.8,2007
2007-06-07,108.50966555,90.7582156618,-49.0032698586,-54.2909784307,3.6,2007
2007-06-08,199.67129331,115.710755068,-78.4675221913,-25.7109915217,8.2,2007
2007-06-10,151.768903266,98.3009137036,17.317016387,-1.21694164003,6.0,2007
2007-06-11,142.368774116,109.383697608,-26.9435652855,-8.2464666754,1.6,2007
2007-06-12,198.204446581,169.309782248,-128.322658769,-74.8931643528,28.4,2007
2007-06-13,198.204446581,114.940300653,-128.322658769,-97.5437926907,1.0,2007
2007-06-16,117.449025502,70.772049428,44.315172504,30.8209828198,2.6,2007
2007-06-19,105.453507869,53.5089926088,-66.7656767355,-7.98982477594,5.2,2007
2007-06-21,164.886539974,124.76779364,-131.973118542,-61.5078156402,26.4,2007
2007-06-22,273.427716776,200.10171791,-239.639801315,-149.597782477,3.6,2007
2007-07-02,244.138050007,175.427645228,-308.191479727,-216.020998217,8.8,2007
2007-07-03,244.138050007,217.046587966,-308.191479727,-143.083433821,4.8,2007
2007-07-04,206.855716592,174.829169704,-37.0011822869,-66.6565267416,2.2,2007
2007-07-05,405.301443484,291.028510864,-66.3245424621,-91.9109136627,8.2,2007
2007-07-06,405.301443484,142.511119123,-66.3245424621,14.3222602167,1.4,2007
2007-07-12,235.063277907,106.070521235,-161.51282907,-18.588844067,25.4,2007
2007-07-13,329.412391857,190.082763032,-219.282476191,-68.265770992,1.4,2007
2007-07-14,158.601868616,116.512294447,-10.5128676401,27.2132726713,6.2,2007
2007-07-15,254.141275513,172.561724474,21.7174517486,51.8734537508,4.2,2007
2007-07-16,430.176716457,189.988582364,-15.4310207102,26.3757380948,39.8,2007
2007-07-17,430.176716457,273.30912714,-15.4310207102,19.7851287715,2.2,2007
2007-07-18,290.153808723,211.790651282,53.8049183512,43.5700237979,6.2,2007
2007-07-20,204.254453104,98.4030485823,41.7795465675,22.8894338966,19.6,2007
2007-07-21,272.684880768,134.178938228,-136.160542596,-21.6477545037,11.4,2007
